id,姓名,俱乐部,进球数,助攻数,传球成功率,过人成功率,抢断成功率,争顶成功率,扑救成功率,传球数,传球成功数,过人数,过人成功数,抢断数,抢断成功数,争顶数,争顶成功数,扑救数,扑救成功数
1,海因切,巴塞罗那,0,0,55.6,0.0,0.0,0.0,54.8,18,10,0,0,0,0,0,0,168,92
2,丘尔内利,巴塞罗那,0,2,58.2,49.4,55.2,0.0,0.0,67,39,85,42,270,149,0,0,0,0
3,博布任斯基,巴塞罗那,0,1,26.5,0.0,53.3,53.8,0.0,98,26,0,0,195,104,262,141,0,0
4,里亚比切夫,巴塞罗那,3,7,53.3,44.4,0.0,0.0,0.0,90,48,232,103,0,0,0,0,0,0
5,曼乔皮,巴塞罗那,2,6,51.1,38.0,0.0,0.0,0.0,231,118,158,60,0,0,0,0,0,0
6,菲亚马雷利,巴塞罗那,0,1,35.7,0.0,51.9,46.5,0.0,84,30,0,0,231,120,241,112,0,0
7,埃尔努夫,巴塞罗那,0,5,67.2,39.7,53.4,0.0,0.0,61,41,78,31,268,143,0,0,0,0
8,隆格韦涅,巴塞罗那,1,3,69.2,26.6,0.0,0.0,0.0,448,310,64,17,0,0,0,0,0,0
9,奈达诺夫,巴塞罗那,2,4,56.2,41.0,0.0,0.0,0.0,320,180,117,48,0,0,0,0,0,0
10,加兰西诺,巴塞罗那,25,0,0.0,27.9,0.0,52.5,0.0,0,0,154,43,0,0,299,157,0,0
11,加索尔,巴塞罗那,8,7,80.2,46.7,23.8,36.4,0.0,748,600,15,7,21,5,22,8,0,0
89,泽莱纽克,切尔西,25,0,0.0,31.9,0.0,50.9,0.0,0,0,69,22,0,0,283,144,0,0
90,奇梅拉罗,切尔西,2,11,51.1,59.5,53.0,0.0,0.0,139,71,222,132,247,131,0,0,0,0
91,德里格尔,切尔西,0,1,23.8,0.0,58.5,50.4,0.0,84,20,0,0,229,134,252,127,0,0
92,德卢卡,切尔西,7,2,82.1,50.0,53.8,40.5,0.0,262,215,4,2,13,7,42,17,0,0
93,安格施泰因,切尔西,0,3,43.5,0.0,50.4,47.3,0.0,85,37,0,0,240,121,243,115,0,0
94,特拉莫耶雷斯,切尔西,14,0,0.0,42.5,0.0,43.9,0.0,0,0,80,34,0,0,262,115,0,0
95,奥格内诺夫,切尔西,0,12,46.3,51.3,54.9,0.0,0.0,95,44,232,119,255,140,0,0,0,0
96,普雷舍斯,切尔西,2,5,69.1,32.5,0.0,0.0,0.0,249,172,234,76,0,0,0,0,0,0
97,库尔克内亚努,切尔西,5,2,78.2,50.0,30.8,23.7,0.0,262,205,14,7,13,4,59,14,0,0
98,约西佩斯库,切尔西,0,0,64.7,0.0,0.0,0.0,51.5,17,11,0,0,0,0,0,0,169,87
99,耶尔姆达尔,切尔西,1,15,72.4,41.0,0.0,0.0,0.0,239,173,244,100,0,0,0,0,0,0
111,基泰斯基,马德里竞技,0,0,39.1,0.0,66.3,49.5,0.0,69,27,0,0,184,122,293,145,0,0
112,贝勒丰,马德里竞技,3,9,66.7,57.0,51.3,0.0,0.0,54,36,172,98,230,118,0,0,0,0
113,詹达利,马德里竞技,0,5,75.5,0.0,68.9,51.7,0.0,788,595,0,0,61,42,120,62,0,0
114,克鲁丘努克,马德里竞技,0,0,39.0,0.0,47.7,41.2,0.0,59,23,0,0,151,72,274,113,0,0
115,施特勒特,马德里竞技,7,10,78.0,33.3,41.7,44.3,0.0,1092,852,3,1,12,5,70,31,0,0
116,贾尔图,马德里竞技,4,7,74.9,50.0,38.5,37.5,0.0,1052,788,12,6,13,5,72,27,0,0
117,卡斯蒂略,马德里竞技,45,0,0.0,26.0,0.0,53.9,0.0,0,0,50,13,0,0,674,363,0,0
118,敦科娃,马德里竞技,5,13,76.3,49.4,0.0,0.0,0.0,964,736,237,117,0,0,0,0,0,0
119,亚尼斯,马德里竞技,2,5,51.7,45.5,52.0,0.0,0.0,58,30,143,65,244,127,0,0,0,0
120,谢瓦尔德纳,马德里竞技,4,9,63.2,38.0,0.0,0.0,0.0,976,617,221,84,0,0,0,0,0,0
121,阿穆伊,马德里竞技,0,0,50.0,0.0,0.0,0.0,56.8,2,1,0,0,0,0,0,0,132,75
133,莱日米拉茨,托特纳姆热刺,3,5,28.3,30.6,41.2,0.0,0.0,60,17,108,33,243,100,0,0,0,0
134,克拉伊乔娃,托特纳姆热刺,2,11,67.6,48.4,0.0,0.0,0.0,596,403,219,106,0,0,0,0,0,0
135,韦舍泽,托特纳姆热刺,0,2,50.6,0.0,63.9,43.9,0.0,87,44,0,0,194,124,237,104,0,0
136,雷斯捷,托特纳姆热刺,33,0,0.0,43.4,0.0,52.9,0.0,0,0,152,66,0,0,365,193,0,0
137,汉帕夏,托特纳姆热刺,3,9,68.2,47.1,0.0,0.0,0.0,633,432,225,106,0,0,0,0,0,0
138,武伊科,托特纳姆热刺,5,13,78.2,28.6,58.8,50.0,0.0,744,582,14,4,17,10,50,25,0,0
139,穆扎拜,托特纳姆热刺,20,0,0.0,45.9,0.0,46.8,0.0,0,0,159,73,0,0,348,163,0,0
140,塞特利,托特纳姆热刺,0,0,41.4,0.0,66.9,60.1,0.0,116,48,0,0,266,178,296,178,0,0
141,赫卡拉,托特纳姆热刺,0,1,65.0,0.0,0.0,0.0,55.8,20,13,0,0,0,0,0,0,138,77
142,両角岳彦,托特纳姆热刺,4,12,80.6,80.0,75.0,40.0,0.0,830,669,15,12,12,9,40,16,0,0
143,卡达尔塞,托特纳姆热刺,1,9,53.6,43.6,50.9,0.0,0.0,56,30,156,68,267,136,0,0,0,0
144,瓦克斯曼,尤文图斯,5,11,50.7,48.0,0.0,0.0,0.0,73,37,273,131,0,0,0,0,0,0
145,卡斯鲁热,尤文图斯,4,4,60.8,36.5,0.0,0.0,0.0,446,271,63,23,0,0,0,0,0,0
146,科普捷夫,尤文图斯,2,3,65.8,33.7,0.0,0.0,0.0,482,317,98,33,0,0,0,0,0,0
147,兰卡蒂,尤文图斯,7,6,75.3,50.0,43.5,39.2,0.0,688,518,12,6,23,10,51,20,0,0
148,托波林斯基,尤文图斯,1,1,43.2,46.3,49.1,0.0,0.0,44,19,95,44,228,112,0,0,0,0
149,沃特雷斯库,尤文图斯,0,3,71.4,0.0,0.0,0.0,55.2,7,5,0,0,0,0,0,0,174,96
150,斯拉京,尤文图斯,39,0,0.0,55.5,0.0,53.5,0.0,0,0,110,61,0,0,374,200,0,0
151,贝格斯维克,尤文图斯,0,0,47.3,0.0,62.9,50.4,0.0,91,43,0,0,264,166,264,133,0,0
152,里兹尔,尤文图斯,0,9,60.0,44.7,55.5,0.0,0.0,50,30,85,38,247,137,0,0,0,0
153,巴科京,尤文图斯,4,13,59.8,52.7,0.0,0.0,0.0,92,55,275,145,0,0,0,0,0,0
154,洛莫兹,尤文图斯,0,1,44.7,0.0,50.5,55.8,0.0,94,42,0,0,196,99,285,159,0,0
155,卢伊什,多特蒙德,3,10,73.2,51.8,0.0,0.0,0.0,127,93,253,131,0,0,0,0,0,0
156,惠特迈耶,多特蒙德,10,0,0.0,16.7,0.0,45.3,0.0,0,0,48,8,0,0,276,125,0,0
157,特拉达斯,多特蒙德,0,2,43.2,0.0,38.9,47.7,0.0,74,32,0,0,198,77,239,114,0,0
158,基塞纳,多特蒙德,10,6,64.9,51.6,0.0,0.0,0.0,148,96,256,132,0,0,0,0,0,0
159,哈拉萨,多特蒙德,1,9,53.7,46.0,56.5,0.0,0.0,121,65,239,110,269,152,0,0,0,0
160,勒加夫尔,多特蒙德,0,0,60.0,0.0,0.0,0.0,53.8,5,3,0,0,0,0,0,0,195,105
161,德尔泰姆,多特蒙德,2,16,57.3,45.7,55.0,0.0,0.0,117,67,243,111,240,132,0,0,0,0
162,巴尔蒂洛蒂,多特蒙德,32,0,0.0,41.7,0.0,58.0,0.0,0,0,60,25,0,0,324,188,0,0
163,阿普拉克,多特蒙德,1,2,83.6,37.5,35.3,28.6,0.0,116,97,8,3,17,6,35,10,0,0
164,里达斯特伦,多特蒙德,4,4,81.2,28.6,34.8,51.2,0.0,117,95,7,2,23,8,43,22,0,0
165,菲加罗,多特蒙德,0,0,34.6,0.0,47.8,58.3,0.0,107,37,0,0,249,119,252,147,0,0
166,维迪厄,拜仁慕尼黑,0,0,36.6,0.0,59.3,51.8,0.0,82,30,0,0,226,134,253,131,0,0
167,布泽斯库尔,拜仁慕尼黑,1,7,70.1,0.0,59.1,31.9,0.0,541,379,0,0,66,39,69,22,0,0
168,泽契里亚,拜仁慕尼黑,8,3,75.3,59.1,68.8,39.3,0.0,736,554,22,13,16,11,61,24,0,0
169,塞特斯塔德,拜仁慕尼黑,0,4,51.3,41.1,56.0,0.0,0.0,78,40,141,58,259,145,0,0,0,0
170,于尔辛,拜仁慕尼黑,0,2,45.8,0.0,43.3,50.0,0.0,83,38,0,0,178,77,260,130,0,0
171,哈雷德,拜仁慕尼黑,0,10,54.1,56.4,46.6,0.0,0.0,98,53,140,79,234,109,0,0,0,0
172,德拉罗齐埃,拜仁慕尼黑,3,13,65.7,37.1,0.0,0.0,0.0,621,408,132,49,0,0,0,0,0,0
173,基米雷尔,拜仁慕尼黑,0,1,52.6,0.0,0.0,0.0,59.6,19,10,0,0,0,0,0,0,166,99
174,吉尼奥利,拜仁慕尼黑,34,0,0.0,42.1,0.0,48.4,0.0,0,0,209,88,0,0,494,239,0,0
175,兰多尔夫,拜仁慕尼黑,7,2,73.6,54.5,10.0,50.0,0.0,715,526,22,12,10,1,70,35,0,0
176,皮耶蒂凯宁,拜仁慕尼黑,4,11,72.4,57.5,0.0,0.0,0.0,605,438,174,100,0,0,0,0,0,0
177,莫里特,上海申花,14,3,62.6,48.4,0.0,41.2,0.0,348,218,62,30,0,0,136,56,0,0
178,瓦迪尼,上海申花,12,11,81.9,59.7,0.0,48.5,0.0,487,399,62,37,0,0,101,49,0,0
179,科西奥勒克,上海申花,0,19,70.7,45.9,58.0,0.0,0.0,116,82,148,68,255,148,0,0,0,0
180,萨特伦,上海申花,2,10,43.0,52.9,0.0,0.0,0.0,121,52,257,136,0,0,0,0,0,0
181,拉尔昌德,上海申花,0,2,22.7,0.0,50.0,53.8,0.0,97,22,0,0,232,116,253,136,0,0
182,蓬皮利安,上海申花,0,1,33.3,0.0,0.0,0.0,55.2,21,7,0,0,0,0,0,0,172,95
183,洛克纳特,上海申花,4,15,45.8,50.5,0.0,0.0,0.0,118,54,200,101,0,0,0,0,0,0
184,布伦内罗,上海申花,0,8,71.6,0.0,66.7,57.0,0.0,454,325,0,0,84,56,93,53,0,0
185,施勒特罗娃,上海申花,0,2,40.4,0.0,47.0,48.5,0.0,89,36,0,0,202,95,235,114,0,0
186,冯丽娟,上海申花,63,0,0.0,53.6,0.0,65.6,0.0,0,0,166,89,0,0,451,296,0,0
187,库斯泰雷,上海申花,0,18,50.5,45.5,36.5,0.0,0.0,93,47,121,55,263,96,0,0,0,0
232,莫昆比,里斯本竞技,1,29,69.7,50.8,0.0,0.0,0.0,1224,853,187,95,0,0,0,0,0,0
233,卡迪姆,里斯本竞技,4,30,76.2,30.0,35.3,34.1,0.0,1310,998,10,3,17,6,41,14,0,0
234,阿尔特曼施佩格,里斯本竞技,0,7,57.4,0.0,43.5,37.9,0.0,829,476,0,0,46,20,87,33,0,0
235,列斯科,里斯本竞技,52,0,0.0,25.0,0.0,54.7,0.0,0,0,152,38,0,0,590,323,0,0
236,弗勒迪克,里斯本竞技,0,0,31.7,0.0,68.4,55.4,0.0,104,33,0,0,209,143,276,153,0,0
237,林德罗斯,里斯本竞技,35,0,0.0,30.4,0.0,34.9,0.0,0,0,158,48,0,0,475,166,0,0
238,帕尔帕莱,里斯本竞技,0,1,42.9,0.0,50.0,45.3,0.0,84,36,0,0,176,88,265,120,0,0
239,卡斯蒂格,里斯本竞技,0,1,31.9,0.0,59.1,42.7,0.0,91,29,0,0,171,101,248,106,0,0
240,穆尔托因佩雷,里斯本竞技,0,15,62.6,47.7,0.0,0.0,0.0,1205,754,195,93,0,0,0,0,0,0
241,加夫雷希,里斯本竞技,1,9,63.4,0.0,43.4,39.5,0.0,959,608,0,0,53,23,86,34,0,0
