id,姓名,俱乐部,进球数,助攻数,传球成功率,过人成功率,抢断成功率,争顶成功率,扑救成功率,传球数,传球成功数,过人数,过人成功数,抢断数,抢断成功数,争顶数,争顶成功数,扑救数,扑救成功数
12,内托利奇卡,皇家马德里,3,9,75.6,0.0,37.7,50.0,0.0,702,531,0,0,53,20,104,52,0,0
13,布尔贡,皇家马德里,0,1,78.9,0.0,0.0,0.0,41.9,19,15,0,0,0,0,0,0,136,57
14,严宏生,皇家马德里,10,25,69.9,59.0,0.0,0.0,0.0,1020,713,266,157,0,0,0,0,0,0
15,艾沙姆,皇家马德里,0,1,47.1,0.0,61.3,54.1,0.0,102,48,0,0,191,117,329,178,0,0
16,迪日马鲁,皇家马德里,14,18,83.2,65.2,52.0,58.9,0.0,1025,853,23,15,25,13,73,43,0,0
17,欧瓦德,皇家马德里,3,9,71.2,0.0,34.9,54.4,0.0,819,583,0,0,43,15,136,74,0,0
18,卢格尔,皇家马德里,7,32,74.9,62.0,0.0,0.0,0.0,1056,791,245,152,0,0,0,0,0,0
19,阿尼马克,皇家马德里,0,2,47.5,0.0,49.3,42.1,0.0,80,38,0,0,150,74,299,126,0,0
20,艾克尔斯,皇家马德里,38,0,0.0,41.0,0.0,51.3,0.0,0,0,188,77,0,0,616,316,0,0
21,弗劳维奇,皇家马德里,0,1,37.5,0.0,56.4,50.9,0.0,88,33,0,0,181,102,322,164,0,0
22,玛尔戈,皇家马德里,37,0,0.0,50.5,0.0,53.9,0.0,0,0,218,110,0,0,612,330,0,0
23,埃斯林达,曼彻斯特联,0,15,78.0,0.0,58.3,43.2,0.0,441,344,0,0,72,42,88,38,0,0
24,埃伦博根,曼彻斯特联,0,1,61.1,0.0,0.0,0.0,53.2,18,11,0,0,0,0,0,0,158,84
25,陈天昭,曼彻斯特联,13,8,77.7,64.3,0.0,54.4,0.0,443,344,70,45,0,0,171,93,0,0
26,加洛贝,曼彻斯特联,0,0,24.1,0.0,57.5,35.4,0.0,54,13,0,0,146,84,257,91,0,0
27,穆尔热,曼彻斯特联,0,0,44.6,0.0,63.8,50.7,0.0,74,33,0,0,196,125,292,148,0,0
28,希克特,曼彻斯特联,21,0,0.0,33.6,0.0,52.9,0.0,0,0,116,39,0,0,471,249,0,0
29,奥恩哈根,曼彻斯特联,36,0,0.0,45.5,0.0,53.4,0.0,0,0,134,61,0,0,481,257,0,0
30,乔诺维奇,曼彻斯特联,0,15,45.2,46.1,49.5,0.0,0.0,210,95,219,101,202,100,0,0,0,0
31,罗泽拉尔,曼彻斯特联,0,4,68.0,0.0,55.9,33.7,0.0,447,304,0,0,59,33,98,33,0,0
32,瓦尔斯泰特,曼彻斯特联,0,3,72.7,0.0,45.3,43.0,0.0,534,388,0,0,53,24,93,40,0,0
33,葛罗夫,曼彻斯特联,2,24,50.9,50.4,34.5,0.0,0.0,218,111,254,128,249,86,0,0,0,0
34,万德尔特,曼彻斯特城,3,23,35.7,55.6,50.2,0.0,0.0,230,82,279,155,211,106,0,0,0,0
35,帕拉丹塔,曼彻斯特城,2,10,65.6,0.0,54.7,45.7,0.0,439,288,0,0,53,29,105,48,0,0
36,科纳谢夫斯基,曼彻斯特城,13,5,82.4,55.3,0.0,63.5,0.0,431,355,38,21,0,0,167,106,0,0
37,崔洪营,曼彻斯特城,5,44,60.7,58.1,51.8,0.0,0.0,229,139,270,157,220,114,0,0,0,0
38,芬特明,曼彻斯特城,28,0,0.0,37.3,0.0,43.4,0.0,0,0,67,25,0,0,454,197,0,0
39,沙赫马托夫,曼彻斯特城,3,4,68.3,0.0,61.2,54.7,0.0,420,287,0,0,49,30,106,58,0,0
40,津戈尼,曼彻斯特城,0,0,45.9,0.0,56.7,51.0,0.0,74,34,0,0,157,89,292,149,0,0
41,金伯顿,曼彻斯特城,0,1,47.9,0.0,63.5,51.1,0.0,73,35,0,0,208,132,278,142,0,0
42,卡萨兰,曼彻斯特城,0,1,25.0,0.0,0.0,0.0,33.1,16,4,0,0,0,0,0,0,130,43
43,黄淘,曼彻斯特城,49,0,0.0,50.0,0.0,60.6,0.0,0,0,86,43,0,0,554,336,0,0
44,米里亚契奇,曼彻斯特城,1,8,76.2,0.0,57.6,48.4,0.0,463,353,0,0,66,38,95,46,0,0
45,兰基内,AC米兰,0,0,26.7,0.0,62.1,44.2,0.0,90,24,0,0,203,126,360,159,0,0
46,费伍德,AC米兰,6,13,72.2,50.2,0.0,0.0,0.0,90,65,325,163,0,0,0,0,0,0
47,梅察,AC米兰,1,4,45.0,59.0,55.3,0.0,0.0,100,45,83,49,237,131,0,0,0,0
48,布斯蒂洛,AC米兰,0,1,39.3,0.0,43.8,23.5,0.0,56,22,0,0,176,77,307,72,0,0
49,韦尼克桑,AC米兰,13,3,54.9,37.8,0.0,44.0,0.0,233,128,74,28,0,0,75,33,0,0
50,姆拉多韦亚努,AC米兰,30,0,0.0,38.8,0.0,59.3,0.0,0,0,201,78,0,0,305,181,0,0
51,卡伦登,AC米兰,0,2,69.0,0.0,0.0,0.0,53.7,29,20,0,0,0,0,0,0,246,132
52,凡萨戈,AC米兰,18,23,68.3,66.6,0.0,0.0,0.0,123,84,302,201,0,0,0,0,0,0
53,格里本恰,AC米兰,11,3,80.0,44.8,0.0,57.1,0.0,225,180,67,30,0,0,98,56,0,0
