id,姓名,俱乐部,进球数,助攻数,传球成功率,过人成功率,抢断成功率,争顶成功率,扑救成功率,传球数,传球成功数,过人数,过人成功数,抢断数,抢断成功数,争顶数,争顶成功数,扑救数,扑救成功数
221,亚历克西娅,里昂,0,4,54.2,0.0,54.3,44.3,0.0,83,45,0,0,188,102,235,104,0,0
222,安古德,里昂,0,2,25.0,0.0,54.1,53.6,0.0,100,25,0,0,229,124,239,128,0,0
223,马皮利,里昂,0,3,36.0,0.0,0.0,0.0,51.2,25,9,0,0,0,0,0,0,168,86
224,陈思芹,里昂,20,5,69.5,50.0,0.0,51.5,0.0,59,41,86,43,0,0,66,34,0,0
225,查尔蒙,里昂,0,13,56.0,54.5,44.6,0.0,0.0,84,47,88,48,213,95,0,0,0,0
226,钟久生,里昂,29,2,84.2,70.9,0.0,58.3,0.0,76,64,110,78,0,0,72,42,0,0
227,费瑟斯顿,里昂,0,11,63.8,48.8,63.4,0.0,0.0,58,37,82,40,235,149,0,0,0,0
228,米赫尼奥娃,里昂,4,8,74.3,0.0,59.3,45.5,0.0,105,78,0,0,86,51,77,35,0,0
229,吴道珍,里昂,38,0,0.0,62.3,0.0,67.1,0.0,0,0,239,149,0,0,222,149,0,0
230,艾拉贝迪安,里昂,4,22,58.5,54.8,0.0,0.0,0.0,123,72,334,183,0,0,0,0,0,0
231,耶盖尔,里昂,6,21,63.8,43.0,0.0,0.0,0.0,105,67,330,142,0,0,0,0,0,0
232,莫昆比,里斯本竞技,0,25,65.7,40.2,0.0,0.0,0.0,1313,863,204,82,0,0,0,0,0,0
233,卡迪姆,里斯本竞技,4,18,76.4,70.6,57.9,29.8,0.0,1362,1041,17,12,19,11,57,17,0,0
234,阿尔特曼施佩格,里斯本竞技,2,2,47.0,0.0,36.6,40.2,0.0,868,408,0,0,41,15,92,37,0,0
235,列斯科,里斯本竞技,42,0,0.0,37.7,0.0,54.7,0.0,0,0,146,55,0,0,669,366,0,0
236,弗勒迪克,里斯本竞技,0,2,51.1,0.0,69.8,53.7,0.0,94,48,0,0,205,143,281,151,0,0
237,林德罗斯,里斯本竞技,21,0,0.0,27.3,0.0,27.3,0.0,0,0,132,36,0,0,480,131,0,0
238,帕尔帕莱,里斯本竞技,0,0,51.6,0.0,55.5,50.5,0.0,93,48,0,0,191,106,273,138,0,0
239,卡斯蒂格,里斯本竞技,0,1,35.4,0.0,57.8,45.1,0.0,82,29,0,0,173,100,273,123,0,0
240,穆尔托因佩雷,里斯本竞技,2,14,57.9,52.6,0.0,0.0,0.0,1159,671,194,102,0,0,0,0,0,0
241,加夫雷希,里斯本竞技,0,5,57.1,0.0,46.2,44.0,0.0,961,549,0,0,52,24,91,40,0,0
242,卡什特兰,里斯本竞技,0,2,87.5,0.0,0.0,0.0,48.6,16,14,0,0,0,0,0,0,146,71
243,古埃勒,莱比锡,0,1,22.1,0.0,62.3,51.9,0.0,86,19,0,0,239,149,289,150,0,0
244,巴赫勒尔,莱比锡,4,12,72.0,46.7,47.8,35.0,0.0,668,481,15,7,23,11,40,14,0,0
245,芝川又四郎,莱比锡,0,0,44.8,0.0,60.3,47.1,0.0,67,30,0,0,262,158,280,132,0,0
246,贾雷,莱比锡,3,3,35.1,63.6,63.7,0.0,0.0,77,27,151,96,234,149,0,0,0,0
247,卡波西,莱比锡,1,11,61.9,47.5,0.0,0.0,0.0,549,340,259,123,0,0,0,0,0,0
248,拉迪凯蒂,莱比锡,5,7,59.3,48.0,0.0,0.0,0.0,541,321,221,106,0,0,0,0,0,0
249,塔迪奥,莱比锡,0,0,47.6,0.0,0.0,0.0,73.7,21,10,0,0,0,0,0,0,152,112
250,塔米奥,莱比锡,35,0,0.0,44.7,0.0,52.2,0.0,0,0,114,51,0,0,437,228,0,0
251,卡皮塔尔,莱比锡,1,2,54.4,39.5,56.0,0.0,0.0,68,37,167,66,216,121,0,0,0,0
252,奥尔萨,莱比锡,1,0,61.5,0.0,44.3,62.2,0.0,493,303,0,0,61,27,90,56,0,0
253,马库阿,莱比锡,4,8,71.4,42.9,46.7,29.5,0.0,661,472,14,6,15,7,44,13,0,0
254,瓦隆,浙江绿城,12,6,69.8,35.7,0.0,48.2,0.0,711,496,28,10,0,0,112,54,0,0
255,博加尔迪,浙江绿城,0,6,46.0,63.9,62.0,0.0,0.0,87,40,108,69,213,132,0,0,0,0
256,桑德舍,浙江绿城,7,0,65.6,50.0,0.0,49.6,0.0,770,505,32,16,0,0,127,63,0,0
257,卡拉斯卡劳,浙江绿城,0,0,35.3,0.0,46.2,51.6,0.0,68,24,0,0,210,97,256,132,0,0
258,奥罗法洛,浙江绿城,27,0,0.0,43.2,0.0,48.7,0.0,0,0,81,35,0,0,464,226,0,0
259,皮佐卡罗,浙江绿城,2,13,81.1,0.0,56.6,55.6,0.0,867,703,0,0,99,56,63,35,0,0
260,斯特列茨库尔,浙江绿城,2,9,43.1,52.5,0.0,0.0,0.0,109,47,276,145,0,0,0,0,0,0
261,杰梅耶夫,浙江绿城,0,6,45.7,45.0,43.2,0.0,0.0,70,32,111,50,234,101,0,0,0,0
262,斯洛尔,浙江绿城,0,1,66.7,0.0,0.0,0.0,60.5,6,4,0,0,0,0,0,0,152,92
263,费凯蒂奇,浙江绿城,3,7,51.5,57.0,0.0,0.0,0.0,99,51,249,142,0,0,0,0,0,0
264,成乾,浙江绿城,0,0,55.4,0.0,60.3,55.6,0.0,83,46,0,0,277,167,241,134,0,0
265,斯帕汉,勒沃库森,0,7,68.0,0.0,35.3,44.0,0.0,831,565,0,0,68,24,84,37,0,0
266,焦赫塔别里泽,勒沃库森,0,4,24.7,34.0,44.0,0.0,0.0,89,22,188,64,209,92,0,0,0,0
267,博尔迪加托,勒沃库森,0,10,66.1,0.0,54.1,33.3,0.0,844,558,0,0,74,40,60,20,0,0
268,布莱奇,勒沃库森,37,0,0.0,40.9,0.0,51.6,0.0,0,0,176,72,0,0,457,236,0,0
269,中田港,勒沃库森,0,3,48.5,0.0,71.2,60.4,0.0,103,50,0,0,222,158,260,157,0,0
270,热拉尔德斯,勒沃库森,0,1,58.8,0.0,0.0,0.0,66.7,17,10,0,0,0,0,0,0,147,98
271,热利科维奇,勒沃库森,31,0,0.0,41.2,0.0,51.1,0.0,0,0,177,73,0,0,450,230,0,0
272,蒙蒂诺尼,勒沃库森,12,24,79.7,53.3,0.0,48.5,0.0,980,781,60,32,0,0,103,50,0,0
273,马克西内亚努,勒沃库森,1,13,62.5,47.4,32.0,0.0,0.0,120,75,196,93,225,72,0,0,0,0
274,伊利基夫,勒沃库森,1,16,75.9,0.0,43.6,43.9,0.0,910,691,0,0,55,24,82,36,0,0
275,莱斯皮托,勒沃库森,0,3,50.0,0.0,47.4,45.2,0.0,66,33,0,0,175,83,221,100,0,0
276,伊帕拉吉雷,西汉姆联,3,5,45.9,43.5,38.9,0.0,0.0,122,56,108,47,175,68,0,0,0,0
277,贝拉温娜,西汉姆联,1,2,80.6,34.4,45.5,43.3,0.0,211,170,32,11,22,10,30,13,0,0
278,韦列日尼科夫,西汉姆联,4,5,61.8,51.4,43.4,0.0,0.0,152,94,142,73,53,23,0,0,0,0
279,辛迪莱,西汉姆联,0,2,59.5,0.0,52.4,56.9,0.0,131,78,0,0,275,144,246,140,0,0
280,多舒,西汉姆联,0,2,45.0,0.0,47.1,54.2,0.0,109,49,0,0,240,113,249,135,0,0
281,赖因维茨,西汉姆联,2,4,69.8,33.3,0.0,0.0,0.0,159,111,153,51,0,0,0,0,0,0
282,文扎拉,西汉姆联,3,1,80.0,26.3,61.5,41.4,0.0,145,116,38,10,13,8,29,12,0,0
283,帕夫利娅,西汉姆联,0,0,48.7,0.0,0.0,0.0,60.2,39,19,0,0,0,0,0,0,181,109
284,基维萨里,西汉姆联,1,6,57.7,45.7,49.0,0.0,0.0,71,41,127,58,251,123,0,0,0,0
285,古尔兹,西汉姆联,21,0,0.0,46.8,0.0,59.0,0.0,0,0,447,209,0,0,251,148,0,0
286,扎瓦利,西汉姆联,0,0,61.6,0.0,49.3,38.8,0.0,146,90,0,0,67,33,85,33,0,0
287,萨利图里,狼队,9,1,51.0,52.0,0.0,0.0,0.0,51,26,179,93,0,0,0,0,0,0
288,菲洛戈尼奥,狼队,0,0,15.2,0.0,66.7,42.7,0.0,66,10,0,0,270,180,286,122,0,0
289,乌德纽斯,狼队,0,4,74.6,10.7,0.0,0.0,0.0,1372,1024,28,3,0,0,0,0,0,0
290,当特,狼队,0,0,34.1,33.6,0.0,0.0,0.0,44,15,146,49,0,0,0,0,0,0
291,舒茨曼,狼队,0,0,12.5,36.7,42.6,0.0,0.0,32,4,49,18,209,89,0,0,0,0
292,米库尔斯卡,狼队,0,1,35.0,51.9,53.3,0.0,0.0,40,14,54,28,214,114,0,0,0,0
293,佩科拉里,狼队,0,3,65.6,24.1,0.0,0.0,0.0,1206,791,54,13,0,0,0,0,0,0
294,马尔塞耶,狼队,0,0,91.7,0.0,0.0,0.0,57.1,12,11,0,0,0,0,0,0,156,89
295,萨韦德,狼队,0,1,42.7,0.0,41.3,58.6,0.0,96,41,0,0,184,76,331,194,0,0
296,博因,狼队,14,0,0.0,34.3,0.0,36.0,0.0,0,0,134,46,0,0,447,161,0,0
297,格拉贝斯,狼队,3,7,81.2,43.8,60.0,57.1,0.0,1813,1472,16,7,20,12,49,28,0,0
298,德加朗,罗马,0,1,81.2,0.0,0.0,0.0,49.6,16,13,0,0,0,0,0,0,121,60
299,埃布罗尼,罗马,0,13,54.2,0.0,54.9,41.9,0.0,952,516,0,0,51,28,86,36,0,0
300,普莱纳尔德,罗马,5,18,71.7,43.6,0.0,0.0,0.0,1311,940,195,85,0,0,0,0,0,0
301,伊波克拉蒂斯,罗马,0,2,39.2,0.0,46.2,50.6,0.0,79,31,0,0,145,67,271,137,0,0
302,登伦,罗马,1,26,69.9,41.6,0.0,0.0,0.0,1351,944,209,87,0,0,0,0,0,0
303,策尔廷格,罗马,0,17,64.8,0.0,54.5,48.2,0.0,1115,723,0,0,77,42,85,41,0,0
304,格博特,罗马,0,1,45.1,0.0,61.8,40.8,0.0,51,23,0,0,178,110,260,106,0,0
305,阿尼基尼,罗马,2,20,80.6,52.9,23.1,60.3,0.0,1605,1294,17,9,13,3,73,44,0,0
306,马卡尔琴斯基,罗马,0,3,67.3,0.0,63.8,66.8,0.0,113,76,0,0,185,118,310,207,0,0
307,斯滕贝里耶,罗马,32,0,0.0,52.3,0.0,46.4,0.0,0,0,128,67,0,0,655,304,0,0
308,里亚尔蒂,罗马,67,0,0.0,51.5,0.0,62.6,0.0,0,0,130,67,0,0,789,494,0,0
309,克拉佩,摩纳哥,3,12,42.4,67.1,53.5,0.0,0.0,139,59,164,110,198,106,0,0,0,0
310,斯坦索尔,摩纳哥,0,1,48.0,0.0,0.0,0.0,61.7,25,12,0,0,0,0,0,0,209,129
311,施韦德,摩纳哥,0,10,67.5,49.4,0.0,0.0,0.0,206,139,156,77,0,0,0,0,0,0
312,维肖内,摩纳哥,0,2,62.9,0.0,51.7,45.0,0.0,151,95,0,0,60,31,100,45,0,0
313,贝尔蒙迪,摩纳哥,0,2,46.7,0.0,47.2,33.3,0.0,92,43,0,0,176,83,270,90,0,0
314,斯科罗斯拉夫,摩纳哥,0,2,54.1,0.0,50.5,46.2,0.0,98,53,0,0,214,108,301,139,0,0
315,佐佐木将,摩纳哥,3,7,56.4,61.8,64.0,0.0,0.0,140,79,152,94,261,167,0,0,0,0
316,布鲁丹,摩纳哥,1,8,61.6,44.1,0.0,0.0,0.0,203,125,161,71,0,0,0,0,0,0
317,德亚尼什,摩纳哥,3,6,63.4,37.9,45.5,35.4,0.0,191,121,29,11,22,10,48,17,0,0
318,马斯托丹特,摩纳哥,37,0,0.0,46.2,0.0,50.8,0.0,0,0,262,121,0,0,378,192,0,0
319,郑凯龙,摩纳哥,9,0,73.6,73.5,68.2,57.3,0.0,208,153,34,25,22,15,75,43,0,0
320,斯图皮内安,广州恒大,0,0,52.4,0.0,49.7,55.6,0.0,63,33,0,0,167,83,248,138,0,0
321,蒂布西奥,广州恒大,3,8,61.7,46.4,0.0,0.0,0.0,650,401,233,108,0,0,0,0,0,0
322,西里通,广州恒大,0,2,62.5,0.0,54.8,51.4,0.0,64,40,0,0,210,115,247,127,0,0
323,维戈洛夫,广州恒大,3,6,78.1,0.0,62.0,64.8,0.0,688,537,0,0,92,57,91,59,0,0
324,艾斯可,广州恒大,6,4,80.6,50.0,52.2,38.9,0.0,845,681,4,2,23,12,54,21,0,0
325,哈里希,广州恒大,6,4,76.3,80.0,33.3,45.7,0.0,781,596,5,4,12,4,70,32,0,0
326,特赖切克,广州恒大,8,4,61.9,56.9,0.0,0.0,0.0,648,401,255,145,0,0,0,0,0,0
327,佩钦卡,广州恒大,0,3,56.6,42.9,54.9,0.0,0.0,76,43,154,66,235,129,0,0,0,0
328,斯文内费尔特,广州恒大,1,2,33.0,57.2,50.0,0.0,0.0,88,29,166,95,180,90,0,0,0,0
329,斯沃森,广州恒大,18,0,0.0,51.5,0.0,37.9,0.0,0,0,99,51,0,0,525,199,0,0
330,赫尔内,广州恒大,0,0,40.0,0.0,0.0,0.0,46.1,5,2,0,0,0,0,0,0,128,59
331,米利塔鲁,马赛,3,13,62.8,41.0,0.0,0.0,0.0,881,553,161,66,0,0,0,0,0,0
332,叶费博夫斯基,马赛,0,0,35.2,0.0,53.5,52.7,0.0,88,31,0,0,170,91,311,164,0,0
333,多莱奇科娃,马赛,6,4,59.3,38.9,26.7,54.1,0.0,1066,632,18,7,15,4,74,40,0,0
334,巴托尼,马赛,0,2,63.2,0.0,0.0,0.0,44.2,19,12,0,0,0,0,0,0,147,65
335,普列米扬尼科夫,马赛,0,8,47.7,40.4,0.0,0.0,0.0,860,410,161,65,0,0,0,0,0,0
336,贝尔尼亚,马赛,0,9,67.9,0.0,66.0,49.6,0.0,804,546,0,0,50,33,115,57,0,0
337,恰帕里,马赛,0,2,48.6,47.3,52.5,0.0,0.0,72,35,112,53,204,107,0,0,0,0
338,阿比布卡,马赛,50,0,0.0,40.9,0.0,56.9,0.0,0,0,149,61,0,0,613,349,0,0
339,斯佩哈尔斯基,马赛,0,0,38.1,0.0,66.4,52.0,0.0,84,32,0,0,226,150,319,166,0,0
340,特塞朗,马赛,0,7,72.3,55.0,63.7,0.0,0.0,65,47,100,55,212,135,0,0,0,0
341,马尔佩洛,马赛,5,18,76.5,25.0,33.3,32.4,0.0,1196,915,8,2,15,5,34,11,0,0
342,佩拉吉奥,波尔图,0,6,80.6,0.0,63.0,39.0,0.0,742,598,3,0,27,17,59,23,0,0
343,哈西洛娃,波尔图,9,6,68.2,55.1,0.0,0.0,0.0,559,381,214,118,0,0,0,0,0,0
344,童志清,波尔图,4,8,80.3,50.0,62.5,52.1,0.0,788,633,10,5,8,5,71,37,0,0
345,德勒农古,波尔图,2,2,62.5,0.0,51.5,54.6,0.0,522,326,0,0,68,35,97,53,0,0
346,齐加诺维奇,波尔图,33,0,0.0,52.2,0.0,58.4,0.0,0,0,92,48,0,0,640,374,0,0
347,奥格斯伯格,波尔图,4,6,44.3,52.4,56.2,0.0,0.0,97,43,189,99,203,114,0,0,0,0
348,莫特罗尼,波尔图,0,0,42.9,0.0,0.0,0.0,77.4,7,3,0,0,0,0,0,0,164,127
349,武科拉伊,波尔图,0,0,36.2,0.0,54.4,43.7,0.0,58,21,0,0,206,112,252,110,0,0
350,英塔尔,波尔图,3,4,56.2,51.9,46.6,0.0,0.0,96,54,162,84,206,96,0,0,0,0
351,古赫尔,波尔图,0,0,56.4,0.0,42.9,44.7,0.0,55,31,0,0,175,75,253,113,0,0
352,比哈杜尔,波尔图,2,10,75.2,45.2,0.0,0.0,0.0,645,485,221,100,0,0,0,0,0,0
353,佩平斯,本菲卡,3,26,64.3,51.3,50.0,0.0,0.0,834,536,156,80,10,5,0,0,0,0
354,哈林斯坦,本菲卡,2,23,78.0,42.9,15.4,44.8,0.0,1152,898,14,6,13,2,29,13,0,0
355,加布里埃良茨,本菲卡,71,0,0.0,62.3,0.0,65.0,0.0,0,0,207,129,0,0,526,342,0,0
356,贝科里,本菲卡,5,24,80.0,50.0,56.2,58.3,0.0,1158,926,16,8,16,9,48,28,0,0
357,阿马纳,本菲卡,1,10,62.0,48.5,43.3,0.0,0.0,100,62,101,49,215,93,0,0,0,0
358,帕沃埃拉,本菲卡,2,23,70.3,44.6,0.0,0.0,0.0,828,582,121,54,0,0,0,0,0,0
359,相金科,本菲卡,0,1,76.5,0.0,0.0,0.0,60.6,17,13,0,0,0,0,0,0,264,160
