id,姓名,俱乐部,进球数,助攻数,传球成功率,过人成功率,抢断成功率,争顶成功率,扑救成功率,传球数,传球成功数,过人数,过人成功数,抢断数,抢断成功数,争顶数,争顶成功数,扑救数,扑救成功数
1,海因切,巴塞罗那,0,1,62.5,0.0,0.0,0.0,54.8,24,15,0,0,0,0,0,0,228,125
2,丘尔内利,巴塞罗那,1,5,59.4,46.2,60.1,0.0,0.0,69,41,106,49,213,128,0,0,0,0
3,博布任斯基,巴塞罗那,0,0,33.8,0.0,41.1,54.0,0.0,80,27,0,0,241,99,289,156,0,0
4,里亚比切夫,巴塞罗那,0,8,53.0,41.8,0.0,0.0,0.0,83,44,249,104,0,0,0,0,0,0
5,曼乔皮,巴塞罗那,1,0,42.5,31.3,0.0,0.0,0.0,332,141,67,21,0,0,0,0,0,0
6,菲亚马雷利,巴塞罗那,0,0,57.3,0.0,49.3,43.8,0.0,82,47,0,0,276,136,258,113,0,0
7,埃尔努夫,巴塞罗那,0,0,58.6,53.6,48.5,0.0,0.0,70,41,69,37,239,116,0,0,0,0
8,隆格韦涅,巴塞罗那,2,7,69.5,28.1,0.0,0.0,0.0,440,306,64,18,0,0,0,0,0,0
9,奈达诺夫,巴塞罗那,0,10,51.3,38.1,0.0,0.0,0.0,78,40,189,72,0,0,0,0,0,0
10,加兰西诺,巴塞罗那,18,0,0.0,36.4,0.0,48.2,0.0,0,0,187,68,0,0,307,148,0,0
11,加索尔,巴塞罗那,10,0,78.3,45.8,38.5,48.8,0.0,637,499,24,11,26,10,41,20,0,0
12,内托利奇卡,皇家马德里,4,13,73.9,0.0,39.3,37.9,0.0,770,569,0,0,56,22,87,33,0,0
13,布尔贡,皇家马德里,0,4,72.0,0.0,0.0,0.0,43.4,25,18,0,0,0,0,0,0,145,63
14,严宏生,皇家马德里,9,28,67.8,60.3,0.0,0.0,0.0,1002,679,234,141,0,0,0,0,0,0
15,艾沙姆,皇家马德里,0,4,51.2,0.0,58.3,53.1,0.0,86,44,0,0,180,105,277,147,0,0
16,迪日马鲁,皇家马德里,11,17,80.2,76.5,47.6,62.3,0.0,1124,901,17,13,21,10,77,48,0,0
17,欧瓦德,皇家马德里,3,11,68.5,0.0,32.5,49.5,0.0,810,555,0,0,40,13,109,54,0,0
18,卢格尔,皇家马德里,10,32,75.0,65.7,0.0,0.0,0.0,1195,896,280,184,0,0,0,0,0,0
19,阿尼马克,皇家马德里,0,4,54.4,0.0,58.0,39.1,0.0,68,37,0,0,162,94,271,106,0,0
20,艾克尔斯,皇家马德里,50,0,0.0,43.4,0.0,49.8,0.0,0,0,196,85,0,0,602,300,0,0
21,弗劳维奇,皇家马德里,0,2,49.4,0.0,54.1,45.7,0.0,77,38,0,0,172,93,280,128,0,0
22,玛尔戈,皇家马德里,45,0,0.0,51.5,0.0,48.6,0.0,0,0,229,118,0,0,607,295,0,0
23,埃斯林达,曼彻斯特联,1,10,79.4,0.0,42.6,26.9,0.0,514,408,0,0,54,23,67,18,0,0
24,埃伦博根,曼彻斯特联,0,1,81.8,0.0,0.0,0.0,55.1,11,9,0,0,0,0,0,0,138,76
25,陈天昭,曼彻斯特联,11,4,73.6,51.9,0.0,50.8,0.0,413,304,52,27,0,0,132,67,0,0
26,加洛贝,曼彻斯特联,0,0,35.8,0.0,56.0,38.8,0.0,53,19,0,0,159,89,201,78,0,0
27,穆尔热,曼彻斯特联,0,1,40.4,0.0,64.3,61.1,0.0,89,36,0,0,196,126,239,146,0,0
28,希克特,曼彻斯特联,20,0,0.0,27.1,0.0,52.6,0.0,0,0,107,29,0,0,388,204,0,0
29,奥恩哈根,曼彻斯特联,38,0,0.0,51.4,0.0,56.6,0.0,0,0,138,71,0,0,396,224,0,0
30,乔诺维奇,曼彻斯特联,0,15,44.9,41.7,52.2,0.0,0.0,176,79,254,106,255,133,0,0,0,0
31,罗泽拉尔,曼彻斯特联,0,7,66.0,0.0,51.9,39.4,0.0,506,334,0,0,54,28,71,28,0,0
32,瓦尔斯泰特,曼彻斯特联,0,11,72.9,0.0,47.5,40.8,0.0,510,372,0,0,59,28,71,29,0,0
33,葛罗夫,曼彻斯特联,2,21,47.6,45.5,37.9,0.0,0.0,170,81,253,115,248,94,0,0,0,0
34,万德尔特,曼彻斯特城,3,25,38.3,51.7,50.7,0.0,0.0,214,82,300,155,223,113,0,0,0,0
