,id,名称,胜,平,负,胜球,输球,净胜球,积分
2,22,里斯本竞技,26,6,6,121,68,53,84
3,19,莱斯特城,23,5,10,82,57,25,74
0,20,塞维利亚,21,9,8,95,69,26,72
16,37,北京国安,20,10,8,90,61,29,70
13,13,托特纳姆热刺,19,8,11,96,81,15,65
10,24,浙江绿城,19,3,16,61,56,5,60
9,11,马德里竞技,17,7,14,61,57,4,58
4,9,切尔西,16,9,13,76,71,5,57
1,29,摩纳哥,15,10,13,69,73,-4,55
11,30,广州恒大,14,9,15,66,61,5,51
8,40,桑托斯,14,8,16,42,51,-9,50
14,36,川崎前锋,14,7,17,69,83,-14,49
12,16,拜仁慕尼黑,13,9,16,65,66,-1,48
17,14,尤文图斯,14,5,19,61,67,-6,47
15,5,AC米兰,12,10,16,62,73,-11,46
5,18,上海上港,11,10,17,50,53,-3,43
19,15,多特蒙德,13,3,22,72,90,-18,42
6,27,狼队,8,13,17,39,66,-27,37
18,26,西汉姆联,7,10,21,44,74,-30,31
7,1,巴塞罗那,6,5,27,52,96,-44,23
