id,姓名,俱乐部,进球数,助攻数,传球成功率,过人成功率,抢断成功率,争顶成功率,扑救成功率,传球数,传球成功数,过人数,过人成功数,抢断数,抢断成功数,争顶数,争顶成功数,扑救数,扑救成功数
12,内托利奇卡,皇家马德里,3,12,75.2,0.0,37.1,46.8,0.0,742,558,0,0,35,13,139,65,0,0
13,布尔贡,皇家马德里,0,2,38.9,0.0,0.0,0.0,50.8,18,7,0,0,0,0,0,0,193,98
14,严宏生,皇家马德里,8,23,72.6,59.3,0.0,0.0,0.0,1026,745,226,134,0,0,0,0,0,0
15,艾沙姆,皇家马德里,0,2,28.6,0.0,50.6,47.6,0.0,98,28,0,0,166,84,397,189,0,0
16,迪日马鲁,皇家马德里,12,24,82.4,57.1,28.6,50.7,0.0,1169,963,21,12,7,2,71,36,0,0
17,欧瓦德,皇家马德里,1,14,69.5,0.0,46.2,46.3,0.0,885,615,0,0,52,24,147,68,0,0
18,卢格尔,皇家马德里,5,30,78.2,68.3,0.0,0.0,0.0,1071,838,240,164,0,0,0,0,0,0
19,阿尼马克,皇家马德里,0,0,37.4,0.0,56.0,36.1,0.0,91,34,0,0,125,70,360,130,0,0
20,艾克尔斯,皇家马德里,44,0,0.0,35.5,0.0,55.7,0.0,0,0,197,70,0,0,637,355,0,0
21,弗劳维奇,皇家马德里,0,0,17.2,0.0,60.1,43.7,0.0,93,16,0,0,143,86,398,174,0,0
22,玛尔戈,皇家马德里,43,0,0.0,35.3,0.0,58.4,0.0,0,0,190,67,0,0,668,390,0,0
23,埃斯林达,曼彻斯特联,0,12,76.5,0.0,65.7,29.9,0.0,520,398,0,0,67,44,117,35,0,0
24,埃伦博根,曼彻斯特联,0,2,38.5,0.0,0.0,0.0,49.1,13,5,0,0,0,0,0,0,169,83
25,陈天昭,曼彻斯特联,12,5,76.4,50.0,0.0,55.3,0.0,458,350,40,20,0,0,190,105,0,0
26,加洛贝,曼彻斯特联,0,0,24.6,0.0,63.9,42.3,0.0,69,17,0,0,147,94,336,142,0,0
27,穆尔热,曼彻斯特联,0,0,27.7,0.0,66.8,47.0,0.0,83,23,0,0,196,131,349,164,0,0
28,希克特,曼彻斯特联,36,0,0.0,25.3,0.0,54.0,0.0,0,0,91,23,0,0,556,300,0,0
