,id,名称,胜,平,负,胜球,输球,净胜球,积分
2,19,莱斯特城,24,10,4,97,54,43,82
5,3,曼彻斯特联,25,5,8,92,57,35,80
18,30,广州恒大,21,6,11,58,49,9,69
4,22,里斯本竞技,20,7,11,100,69,31,67
14,24,浙江绿城,18,8,12,75,65,10,62
12,17,上海申花,18,6,14,93,76,17,60
11,18,上海上港,18,5,15,53,56,-3,59
9,27,狼队,15,9,14,51,53,-2,54
19,5,AC米兰,14,9,15,77,75,2,51
7,29,摩纳哥,13,12,13,60,64,-4,51
13,16,拜仁慕尼黑,12,12,14,75,73,2,48
10,14,尤文图斯,13,9,16,63,74,-11,48
16,11,马德里竞技,13,7,18,64,71,-7,46
15,13,托特纳姆热刺,12,9,17,59,74,-15,45
1,26,西汉姆联,12,8,18,56,61,-5,44
17,36,川崎前锋,11,9,18,63,75,-12,42
0,9,切尔西,10,11,17,57,71,-14,41
6,15,多特蒙德,11,8,19,67,86,-19,41
3,40,桑托斯,9,9,20,47,72,-25,36
8,1,巴塞罗那,7,9,22,46,78,-32,30
