id,姓名,俱乐部,进球数,助攻数,传球成功率,过人成功率,抢断成功率,争顶成功率,扑救成功率,传球数,传球成功数,过人数,过人成功数,抢断数,抢断成功数,争顶数,争顶成功数,扑救数,扑救成功数
12,内托利奇卡,皇家马德里,3,7,75.7,0.0,53.7,38.3,0.0,721,546,0,0,54,29,120,46,0,0
13,布尔贡,皇家马德里,0,2,68.0,0.0,0.0,0.0,46.5,25,17,0,0,0,0,0,0,159,74
14,严宏生,皇家马德里,9,20,70.7,56.0,0.0,0.0,0.0,1054,745,248,139,0,0,0,0,0,0
15,艾沙姆,皇家马德里,0,1,35.7,0.0,51.3,50.8,0.0,98,35,0,0,191,98,329,167,0,0
16,迪日马鲁,皇家马德里,10,22,81.7,60.0,30.8,50.0,0.0,1042,851,20,12,13,4,66,33,0,0
17,欧瓦德,皇家马德里,2,12,71.1,0.0,48.3,51.2,0.0,873,621,0,0,58,28,121,62,0,0
18,卢格尔,皇家马德里,10,31,77.0,68.7,0.0,0.0,0.0,1002,772,265,182,0,0,0,0,0,0
19,阿尼马克,皇家马德里,0,2,41.8,0.0,61.0,35.4,0.0,55,23,0,0,164,100,302,107,0,0
20,艾克尔斯,皇家马德里,36,0,0.0,45.2,0.0,54.1,0.0,0,0,199,90,0,0,616,333,0,0
21,弗劳维奇,皇家马德里,0,4,29.9,0.0,57.3,50.2,0.0,87,26,0,0,185,106,325,163,0,0
22,玛尔戈,皇家马德里,45,0,0.0,47.5,0.0,52.9,0.0,0,0,198,94,0,0,597,316,0,0
23,埃斯林达,曼彻斯特联,1,9,76.4,0.0,39.0,36.8,0.0,559,427,0,0,59,23,95,35,0,0
24,埃伦博根,曼彻斯特联,0,1,63.6,0.0,0.0,0.0,55.4,11,7,0,0,0,0,0,0,177,98
25,陈天昭,曼彻斯特联,15,4,76.8,50.9,0.0,50.3,0.0,496,381,55,28,0,0,155,78,0,0
26,加洛贝,曼彻斯特联,0,1,36.1,0.0,57.1,38.9,0.0,61,22,0,0,168,96,285,111,0,0
27,穆尔热,曼彻斯特联,0,0,36.2,0.0,62.5,48.5,0.0,69,25,0,0,200,125,330,160,0,0
28,希克特,曼彻斯特联,20,0,0.0,28.3,0.0,49.4,0.0,0,0,106,30,0,0,494,244,0,0
29,奥恩哈根,曼彻斯特联,25,0,0.0,47.1,0.0,50.1,0.0,0,0,136,64,0,0,487,244,0,0
30,乔诺维奇,曼彻斯特联,0,20,51.8,43.2,50.7,0.0,0.0,197,102,222,96,221,112,0,0,0,0
31,罗泽拉尔,曼彻斯特联,0,6,69.3,0.0,56.6,40.2,0.0,527,365,0,0,53,30,122,49,0,0
32,瓦尔斯泰特,曼彻斯特联,0,7,73.8,0.0,52.7,40.6,0.0,535,395,0,0,55,29,106,43,0,0
33,葛罗夫,曼彻斯特联,1,13,43.8,42.9,35.5,0.0,0.0,185,81,226,97,200,71,0,0,0,0
34,万德尔特,曼彻斯特城,3,20,38.2,50.7,52.2,0.0,0.0,212,81,302,153,228,119,0,0,0,0
35,帕拉丹塔,曼彻斯特城,0,2,69.0,0.0,50.0,54.5,0.0,390,269,0,0,54,27,99,54,0,0
36,科纳谢夫斯基,曼彻斯特城,21,12,78.1,55.8,0.0,64.2,0.0,392,306,43,24,0,0,179,115,0,0
37,崔洪营,曼彻斯特城,5,41,63.0,60.6,55.1,0.0,0.0,211,133,274,166,214,118,0,0,0,0
38,芬特明,曼彻斯特城,20,0,0.0,31.2,0.0,47.6,0.0,0,0,80,25,0,0,450,214,0,0
39,沙赫马托夫,曼彻斯特城,2,7,67.1,0.0,59.6,44.0,0.0,404,271,0,0,52,31,116,51,0,0
40,津戈尼,曼彻斯特城,0,1,43.8,0.0,57.9,48.0,0.0,73,32,0,0,209,121,296,142,0,0
41,金伯顿,曼彻斯特城,0,0,47.0,0.0,51.0,54.2,0.0,83,39,0,0,206,105,323,175,0,0
42,卡萨兰,曼彻斯特城,0,0,46.7,0.0,0.0,0.0,35.8,15,7,0,0,0,0,0,0,159,57
43,黄淘,曼彻斯特城,48,0,0.0,47.9,0.0,60.6,0.0,0,0,94,45,0,0,541,328,0,0
44,米里亚契奇,曼彻斯特城,1,9,78.6,0.0,55.4,51.6,0.0,440,346,0,0,56,31,124,64,0,0
45,兰基内,AC米兰,0,3,31.4,0.0,55.6,47.1,0.0,86,27,0,0,277,154,323,152,0,0
46,费伍德,AC米兰,2,15,62.7,52.7,0.0,0.0,0.0,102,64,275,145,0,0,0,0,0,0
47,梅察,AC米兰,2,9,43.8,67.7,51.5,0.0,0.0,96,42,96,65,202,104,0,0,0,0
48,布斯蒂洛,AC米兰,0,2,45.9,0.0,39.3,27.5,0.0,61,28,0,0,234,92,262,72,0,0
49,韦尼克桑,AC米兰,10,1,55.8,26.1,0.0,42.5,0.0,215,120,69,18,0,0,73,31,0,0
50,姆拉多韦亚努,AC米兰,31,0,0.0,44.2,0.0,59.5,0.0,0,0,242,107,0,0,269,160,0,0
51,卡伦登,AC米兰,0,0,63.6,0.0,0.0,0.0,53.9,22,14,0,0,0,0,0,0,280,151
52,凡萨戈,AC米兰,11,18,67.9,60.6,0.0,0.0,0.0,109,74,317,192,0,0,0,0,0,0
53,格里本恰,AC米兰,10,1,76.5,34.0,0.0,55.4,0.0,247,189,94,32,0,0,92,51,0,0
54,岑策雷亚努,AC米兰,2,0,68.5,0.0,40.5,41.8,0.0,241,165,0,0,79,32,110,46,0,0
55,列特,AC米兰,0,4,37.0,51.7,50.7,0.0,0.0,81,30,89,46,201,102,0,0,0,0
56,当麻好子,国际米兰,18,9,84.4,52.4,0.0,54.5,0.0,1266,1069,63,33,0,0,257,140,0,0
57,萨德科维奇,国际米兰,1,13,77.7,0.0,46.7,62.6,0.0,1315,1022,0,0,60,28,115,72,0,0
58,阿森松,国际米兰,1,5,54.0,42.1,50.9,0.0,0.0,100,54,195,82,175,89,0,0,0,0
59,辛吉武,国际米兰,0,3,43.0,32.2,27.5,0.0,0.0,100,43,171,55,189,52,0,0,0,0
60,比尔廷,国际米兰,0,15,83.2,0.0,68.3,35.5,0.0,1342,1116,0,0,60,41,93,33,0,0
61,贝尔思,国际米兰,15,0,0.0,21.8,0.0,39.1,0.0,0,0,110,24,0,0,668,261,0,0
62,霍尔普赫,国际米兰,1,8,71.9,0.0,41.7,37.2,0.0,1300,935,0,0,36,15,86,32,0,0
63,迪皮齐奥,国际米兰,0,0,46.2,0.0,0.0,0.0,56.8,13,6,0,0,0,0,0,0,111,63
64,尹恩慧,国际米兰,0,0,66.7,0.0,68.9,62.9,0.0,75,50,0,0,196,135,318,200,0,0
65,德莱威,国际米兰,0,0,57.8,0.0,55.0,49.5,0.0,64,37,0,0,129,71,285,141,0,0
66,马兰托尼,国际米兰,18,0,0.0,36.7,0.0,43.1,0.0,0,0,128,47,0,0,699,301,0,0
67,卡莫里,巴黎圣日尔曼,0,15,69.9,0.0,59.1,55.4,0.0,1081,756,0,0,66,39,121,67,0,0
68,卢采斯库,巴黎圣日尔曼,1,16,71.9,0.0,25.5,27.5,0.0,1178,847,0,0,47,12,102,28,0,0
69,欣特瑙斯,巴黎圣日尔曼,30,0,0.0,43.1,0.0,54.2,0.0,0,0,116,50,0,0,557,302,0,0
70,劳莱特,巴黎圣日尔曼,0,12,67.8,0.0,43.9,45.1,0.0,1067,723,0,0,57,25,113,51,0,0
71,奥夫夏,巴黎圣日尔曼,0,14,44.0,46.1,42.3,0.0,0.0,125,55,178,82,196,83,0,0,0,0
72,彼得鲁恰努,巴黎圣日尔曼,0,2,44.7,0.0,56.0,49.3,0.0,76,34,0,0,218,122,353,174,0,0
73,卡拉保,巴黎圣日尔曼,0,1,28.6,0.0,0.0,0.0,70.5,14,4,0,0,0,0,0,0,166,117
74,特雷弗顿,巴黎圣日尔曼,7,16,71.9,33.9,0.0,57.8,0.0,1131,813,56,19,0,0,185,107,0,0
75,希拉马卡,巴黎圣日尔曼,0,0,42.2,0.0,58.9,47.3,0.0,64,27,0,0,185,109,357,169,0,0
76,魏因施坦格尔,巴黎圣日尔曼,50,0,0.0,56.1,0.0,60.6,0.0,0,0,132,74,0,0,619,375,0,0
77,贝德尔,巴黎圣日尔曼,0,12,52.3,44.6,46.9,0.0,0.0,107,56,157,70,211,99,0,0,0,0
78,图纳勒贝伊,阿贾克斯,4,2,76.3,41.2,0.0,41.8,0.0,245,187,17,7,0,0,79,33,0,0
79,克尔塔帕蒂,阿贾克斯,0,0,25.0,0.0,0.0,0.0,63.5,8,2,0,0,0,0,0,0,222,141
80,赛威尔,阿贾克斯,2,4,38.1,53.6,53.9,0.0,0.0,63,24,112,60,191,103,0,0,0,0
81,法兰西奥,阿贾克斯,13,11,37.7,53.9,0.0,0.0,0.0,77,29,421,227,0,0,0,0,0,0
82,福田弘,阿贾克斯,32,0,0.0,53.0,0.0,63.6,0.0,0,0,66,35,0,0,341,217,0,0
83,克吕扎勒布,阿贾克斯,0,1,48.1,0.0,56.2,49.6,0.0,79,38,0,0,224,126,357,177,0,0
84,达里曼,阿贾克斯,0,2,59.7,0.0,54.4,38.9,0.0,236,141,0,0,90,49,113,44,0,0
