id,姓名,俱乐部,进球数,助攻数,传球成功率,过人成功率,抢断成功率,争顶成功率,扑救成功率,传球数,传球成功数,过人数,过人成功数,抢断数,抢断成功数,争顶数,争顶成功数,扑救数,扑救成功数
1,海因切,巴塞罗那,0,0,41.7,0.0,0.0,0.0,44.4,12,5,0,0,0,0,0,0,187,83
2,丘尔内利,巴塞罗那,0,5,61.3,43.0,44.1,0.0,0.0,62,38,86,37,261,115,0,0,0,0
3,博布任斯基,巴塞罗那,0,0,28.3,0.0,54.1,51.6,0.0,106,30,0,0,205,111,275,142,0,0
4,里亚比切夫,巴塞罗那,0,15,62.2,47.3,0.0,0.0,0.0,74,46,241,114,0,0,0,0,0,0
5,曼乔皮,巴塞罗那,1,7,56.7,38.3,0.0,0.0,0.0,150,85,193,74,0,0,0,0,0,0
6,菲亚马雷利,巴塞罗那,0,0,26.8,0.0,51.4,47.2,0.0,97,26,0,0,259,133,250,118,0,0
7,埃尔努夫,巴塞罗那,0,1,54.7,54.1,54.9,0.0,0.0,64,35,85,46,273,150,0,0,0,0
8,隆格韦涅,巴塞罗那,2,5,71.8,44.2,0.0,0.0,0.0,543,390,77,34,0,0,0,0,0,0
9,奈达诺夫,巴塞罗那,2,5,59.5,40.2,0.0,0.0,0.0,407,242,82,33,0,0,0,0,0,0
10,加兰西诺,巴塞罗那,34,0,0.0,21.3,0.0,58.2,0.0,0,0,136,29,0,0,337,196,0,0
11,加索尔,巴塞罗那,8,9,80.8,50.0,44.4,33.3,0.0,775,626,8,4,18,8,36,12,0,0
45,兰基内,AC米兰,0,1,28.6,0.0,64.2,49.0,0.0,112,32,0,0,257,165,263,129,0,0
46,费伍德,AC米兰,5,12,60.2,52.7,0.0,0.0,0.0,93,56,283,149,0,0,0,0,0,0
47,梅察,AC米兰,0,5,46.2,54.5,50.0,0.0,0.0,78,36,88,48,264,132,0,0,0,0
48,布斯蒂洛,AC米兰,0,1,41.6,0.0,48.1,32.7,0.0,77,32,0,0,162,78,226,74,0,0
49,韦尼克桑,AC米兰,11,1,57.8,29.3,0.0,43.8,0.0,249,144,75,22,0,0,89,39,0,0
50,姆拉多韦亚努,AC米兰,42,0,0.0,35.8,0.0,63.1,0.0,0,0,212,76,0,0,260,164,0,0
51,卡伦登,AC米兰,0,2,70.6,0.0,0.0,0.0,53.6,34,24,0,0,0,0,0,0,179,96
52,凡萨戈,AC米兰,9,24,69.4,59.2,0.0,0.0,0.0,108,75,294,174,0,0,0,0,0,0
53,格里本恰,AC米兰,10,8,77.5,38.3,0.0,54.7,0.0,374,290,81,31,0,0,53,29,0,0
54,岑策雷亚努,AC米兰,0,4,66.9,0.0,50.8,50.0,0.0,323,216,0,0,61,31,80,40,0,0
55,列特,AC米兰,0,5,38.4,56.4,55.1,0.0,0.0,73,28,101,57,294,162,0,0,0,0
78,图纳勒贝伊,阿贾克斯,12,3,78.0,51.3,0.0,58.9,0.0,168,131,39,20,0,0,73,43,0,0
79,克尔塔帕蒂,阿贾克斯,0,0,56.2,0.0,0.0,0.0,71.8,16,9,0,0,0,0,0,0,124,89
80,赛威尔,阿贾克斯,1,11,45.5,49.0,47.1,0.0,0.0,77,35,155,76,278,131,0,0,0,0
81,法兰西奥,阿贾克斯,15,12,55.3,52.7,0.0,0.0,0.0,85,47,410,216,0,0,0,0,0,0
82,福田弘,阿贾克斯,39,0,0.0,49.0,0.0,59.4,0.0,0,0,96,47,0,0,251,149,0,0
83,克吕扎勒布,阿贾克斯,0,3,31.9,0.0,63.6,48.6,0.0,72,23,0,0,187,119,208,101,0,0
84,达里曼,阿贾克斯,1,2,62.6,0.0,59.7,40.3,0.0,187,117,0,0,62,37,72,29,0,0
85,特尔米科斯基,阿贾克斯,8,3,62.1,36.1,0.0,58.2,0.0,153,95,36,13,0,0,79,46,0,0
86,斯基亚韦洛,阿贾克斯,6,12,56.1,44.8,0.0,0.0,0.0,66,37,397,178,0,0,0,0,0,0
87,利维奥尼,阿贾克斯,0,0,31.4,0.0,63.6,57.1,0.0,105,33,0,0,247,157,226,129,0,0
88,扎布劳迪洛娃,阿贾克斯,0,14,68.3,48.7,50.9,0.0,0.0,60,41,115,56,283,144,0,0,0,0
89,泽莱纽克,切尔西,19,0,0.0,26.5,0.0,49.1,0.0,0,0,49,13,0,0,287,141,0,0
90,奇梅拉罗,切尔西,2,22,49.3,56.8,53.4,0.0,0.0,142,70,264,150,266,142,0,0,0,0
91,德里格尔,切尔西,0,0,27.9,0.0,57.5,40.0,0.0,61,17,0,0,212,122,225,90,0,0
92,德卢卡,切尔西,9,2,79.3,60.0,15.4,39.1,0.0,184,146,5,3,13,2,46,18,0,0
93,安格施泰因,切尔西,0,0,39.5,0.0,51.1,50.0,0.0,81,32,0,0,233,119,234,117,0,0
94,特拉莫耶雷斯,切尔西,16,0,0.0,49.2,0.0,43.5,0.0,0,0,61,30,0,0,278,121,0,0
95,奥格内诺夫,切尔西,1,11,53.0,54.7,52.1,0.0,0.0,132,70,243,133,288,150,0,0,0,0
96,普雷舍斯,切尔西,3,9,67.5,38.5,0.0,0.0,0.0,200,135,234,90,0,0,0,0,0,0
97,库尔克内亚努,切尔西,9,3,78.3,20.0,64.3,32.5,0.0,244,191,5,1,14,9,40,13,0,0
98,约西佩斯库,切尔西,0,0,45.5,0.0,0.0,0.0,48.6,11,5,0,0,0,0,0,0,181,88
99,耶尔姆达尔,切尔西,1,7,71.9,43.5,0.0,0.0,0.0,224,161,223,97,0,0,0,0,0,0
111,基泰斯基,马德里竞技,0,0,35.3,0.0,59.3,51.0,0.0,68,24,0,0,199,118,243,124,0,0
112,贝勒丰,马德里竞技,2,8,58.6,55.6,51.5,0.0,0.0,58,34,169,94,305,157,0,0,0,0
113,詹达利,马德里竞技,1,4,78.0,0.0,67.6,56.5,0.0,728,568,0,0,68,46,85,48,0,0
114,克鲁丘努克,马德里竞技,0,0,31.9,0.0,47.8,39.0,0.0,47,15,0,0,134,64,223,87,0,0
