,id,名称,胜,平,负,胜球,输球,净胜球,积分
16,33,本菲卡,28,7,3,149,86,63,91
12,23,莱比锡,22,10,6,70,33,37,76
4,21,里昂,22,7,9,88,50,38,73
7,35,河床,21,6,11,74,48,26,69
15,32,波尔图,19,7,12,76,53,23,64
1,24,浙江绿城,18,10,10,71,58,13,64
19,22,里斯本竞技,18,8,12,83,58,25,62
2,16,拜仁慕尼黑,16,9,13,61,58,3,57
17,9,切尔西,16,7,15,69,71,-2,55
9,31,马赛,14,12,12,67,65,2,54
14,39,埃因霍温,14,11,13,88,86,2,53
18,37,北京国安,15,7,16,70,78,-8,52
3,30,广州恒大,11,13,14,48,56,-8,46
8,40,桑托斯,11,13,14,43,52,-9,46
6,36,川崎前锋,10,7,21,51,74,-23,37
10,27,狼队,10,6,22,31,70,-39,36
5,29,摩纳哥,7,13,18,56,77,-21,34
11,15,多特蒙德,8,10,20,56,89,-33,34
13,26,西汉姆联,6,11,21,44,82,-38,29
0,1,巴塞罗那,4,6,28,43,94,-51,18
