,id,名称,胜,平,负,胜球,输球,净胜球,积分
18,8,阿贾克斯,25,7,6,82,35,47,82
11,39,埃因霍温,26,2,10,112,62,50,80
9,32,波尔图,23,7,8,77,50,27,76
15,17,上海申花,20,6,12,97,76,21,66
19,11,马德里竞技,19,8,11,69,52,17,65
10,37,北京国安,20,5,13,77,68,9,65
5,29,摩纳哥,15,14,9,62,55,7,59
8,16,拜仁慕尼黑,15,11,12,74,57,17,56
12,5,AC米兰,17,5,16,77,83,-6,56
4,24,浙江绿城,16,7,15,64,61,3,55
2,14,尤文图斯,13,10,15,58,68,-10,49
13,36,川崎前锋,12,12,14,75,78,-3,48
6,18,上海上港,13,9,16,44,47,-3,48
3,15,多特蒙德,12,11,15,58,67,-9,47
16,13,托特纳姆热刺,13,7,18,58,60,-2,46
14,40,桑托斯,10,10,18,45,52,-7,40
7,27,狼队,9,11,18,38,57,-19,38
17,9,切尔西,9,7,22,60,93,-33,34
0,1,巴塞罗那,5,10,23,47,104,-57,25
1,26,西汉姆联,6,5,27,41,90,-49,23
