id,姓名,俱乐部,进球数,助攻数,传球成功率,过人成功率,抢断成功率,争顶成功率,扑救成功率,传球数,传球成功数,过人数,过人成功数,抢断数,抢断成功数,争顶数,争顶成功数,扑救数,扑救成功数
12,内托利奇卡,皇家马德里,3,15,72.4,0.0,49.0,42.0,0.0,902,653,0,0,51,25,150,63,0,0
13,布尔贡,皇家马德里,0,1,75.0,0.0,0.0,0.0,50.6,20,15,0,0,0,0,0,0,154,78
14,严宏生,皇家马德里,5,24,72.8,60.4,0.0,0.0,0.0,1125,819,240,145,0,0,0,0,0,0
15,艾沙姆,皇家马德里,0,2,34.4,0.0,59.9,47.6,0.0,93,32,0,0,202,121,380,181,0,0
16,迪日马鲁,皇家马德里,8,19,83.2,53.3,62.5,35.1,0.0,1265,1053,15,8,8,5,57,20,0,0
17,欧瓦德,皇家马德里,0,7,73.8,0.0,49.1,45.1,0.0,798,589,0,0,57,28,153,69,0,0
18,卢格尔,皇家马德里,3,33,77.3,67.4,0.0,0.0,0.0,1107,856,233,157,0,0,0,0,0,0
19,阿尼马克,皇家马德里,0,0,36.8,0.0,68.0,38.4,0.0,68,25,0,0,147,100,341,131,0,0
20,艾克尔斯,皇家马德里,47,0,0.0,33.9,0.0,59.4,0.0,0,0,165,56,0,0,751,446,0,0
21,弗劳维奇,皇家马德里,0,1,25.0,0.0,67.5,44.4,0.0,80,20,0,0,157,106,369,164,0,0
22,玛尔戈,皇家马德里,42,0,0.0,39.2,0.0,54.1,0.0,0,0,171,67,0,0,682,369,0,0
23,埃斯林达,曼彻斯特联,0,9,76.5,0.0,51.9,39.8,0.0,579,443,0,0,54,28,128,51,0,0
24,埃伦博根,曼彻斯特联,0,0,69.2,0.0,0.0,0.0,55.4,13,9,0,0,0,0,0,0,175,97
25,陈天昭,曼彻斯特联,13,6,74.1,57.8,0.0,55.3,0.0,429,318,45,26,0,0,150,83,0,0
26,加洛贝,曼彻斯特联,0,2,24.6,0.0,67.7,39.9,0.0,61,15,0,0,189,128,331,132,0,0
27,穆尔热,曼彻斯特联,0,2,35.8,0.0,67.4,50.1,0.0,95,34,0,0,184,124,375,188,0,0
28,希克特,曼彻斯特联,21,0,0.0,25.0,0.0,56.3,0.0,0,0,100,25,0,0,504,284,0,0
29,奥恩哈根,曼彻斯特联,20,0,0.0,34.3,0.0,54.8,0.0,0,0,108,37,0,0,504,276,0,0
30,乔诺维奇,曼彻斯特联,0,18,48.4,41.3,50.2,0.0,0.0,213,103,208,86,225,113,0,0,0,0
31,罗泽拉尔,曼彻斯特联,0,1,67.2,0.0,62.5,44.9,0.0,475,319,0,0,48,30,118,53,0,0
32,瓦尔斯泰特,曼彻斯特联,1,4,74.0,0.0,54.7,50.4,0.0,462,342,0,0,53,29,131,66,0,0
33,葛罗夫,曼彻斯特联,0,13,47.5,46.4,36.3,0.0,0.0,202,96,209,97,182,66,0,0,0,0
34,万德尔特,曼彻斯特城,1,22,50.0,51.1,48.2,0.0,0.0,208,104,266,136,193,93,0,0,0,0
35,帕拉丹塔,曼彻斯特城,0,12,73.7,0.0,57.6,43.2,0.0,419,309,0,0,59,34,88,38,0,0
36,科纳谢夫斯基,曼彻斯特城,10,10,76.1,44.4,0.0,61.2,0.0,415,316,27,12,0,0,170,104,0,0
37,崔洪营,曼彻斯特城,3,33,67.2,61.0,57.7,0.0,0.0,244,164,269,164,182,105,0,0,0,0
38,芬特明,曼彻斯特城,29,0,0.0,33.8,0.0,52.0,0.0,0,0,71,24,0,0,562,292,0,0
39,沙赫马托夫,曼彻斯特城,0,11,65.7,0.0,65.0,45.1,0.0,452,297,0,0,60,39,122,55,0,0
40,津戈尼,曼彻斯特城,0,0,30.9,0.0,63.6,42.3,0.0,55,17,0,0,165,105,319,135,0,0
