,id,名称,胜,平,负,胜球,输球,净胜球,积分
9,23,莱比锡,22,8,8,63,37,26,74
12,31,马赛,20,9,9,80,50,30,69
4,21,里昂,19,10,9,73,50,23,67
18,13,托特纳姆热刺,18,10,10,75,59,16,64
8,24,浙江绿城,18,10,10,70,57,13,64
0,16,拜仁慕尼黑,18,9,11,76,54,22,63
3,5,AC米兰,18,6,14,91,75,16,60
17,11,马德里竞技,16,12,10,68,57,11,60
6,17,上海申花,17,7,14,74,68,6,58
2,36,川崎前锋,16,7,15,73,69,4,55
5,30,广州恒大,16,6,16,60,59,1,54
10,18,上海上港,13,12,13,55,45,10,51
13,29,摩纳哥,14,7,17,55,66,-11,49
14,1,巴塞罗那,12,11,15,51,67,-16,47
19,15,多特蒙德,12,8,18,61,90,-29,44
1,14,尤文图斯,11,9,18,56,72,-16,42
7,27,狼队,10,11,17,36,54,-18,41
11,26,西汉姆联,10,8,20,42,60,-18,38
15,9,切尔西,9,6,23,55,86,-31,33
16,40,桑托斯,4,8,26,29,68,-39,20
