,id,名称,胜,平,负,胜球,输球,净胜球,积分
13,37,北京国安,25,6,7,102,71,31,81
9,39,埃因霍温,25,5,8,125,83,42,80
14,31,马赛,21,6,11,85,64,21,69
17,32,波尔图,18,9,11,71,60,11,63
16,17,上海申花,18,8,12,95,77,18,62
10,11,马德里竞技,19,5,14,70,57,13,62
15,30,广州恒大,16,13,9,67,53,14,61
2,22,里斯本竞技,18,4,16,93,81,12,58
7,13,托特纳姆热刺,15,12,11,71,61,10,57
3,24,浙江绿城,15,9,14,68,55,13,54
18,14,尤文图斯,14,8,16,62,78,-16,50
5,16,拜仁慕尼黑,13,7,18,57,67,-10,46
4,26,西汉姆联,14,4,20,51,71,-20,46
12,29,摩纳哥,13,6,19,56,69,-13,45
11,40,桑托斯,11,10,17,41,48,-7,43
19,9,切尔西,12,6,20,56,82,-26,42
8,36,川崎前锋,10,11,17,63,73,-10,41
1,27,狼队,8,14,16,31,52,-21,38
6,15,多特蒙德,11,5,22,63,90,-27,38
0,1,巴塞罗那,8,4,26,41,76,-35,28
