,id,名称,胜,平,负,胜球,输球,净胜球,积分
1,12,阿森纳,24,7,7,97,49,48,79
0,30,广州恒大,23,5,10,75,50,25,74
3,24,浙江绿城,19,9,10,66,48,18,66
8,19,莱斯特城,19,8,11,82,66,16,65
14,21,里昂,16,13,9,84,62,22,61
4,35,河床,19,3,16,58,47,11,60
15,37,北京国安,16,11,11,93,77,16,59
10,13,托特纳姆热刺,17,8,13,76,65,11,59
17,16,拜仁慕尼黑,16,9,13,67,65,2,57
13,15,多特蒙德,17,5,16,75,76,-1,56
6,18,上海上港,15,8,15,64,61,3,53
19,29,摩纳哥,14,10,14,60,68,-8,52
2,36,川崎前锋,14,9,15,58,64,-6,51
16,5,AC米兰,14,7,17,78,78,0,49
11,40,桑托斯,10,12,16,42,59,-17,42
5,9,切尔西,13,3,22,55,82,-27,42
18,14,尤文图斯,10,9,19,54,70,-16,39
12,1,巴塞罗那,11,6,21,44,81,-37,39
9,27,狼队,6,11,21,35,61,-26,29
7,26,西汉姆联,6,9,23,37,71,-34,27
