,id,名称,胜,平,负,胜球,输球,净胜球,积分
1,7,巴黎圣日尔曼,30,7,1,104,32,72,97
17,4,曼彻斯特城,28,5,5,126,66,60,89
18,10,利物浦,24,8,6,94,43,51,80
3,2,皇家马德里,24,4,10,132,82,50,76
8,12,阿森纳,20,8,10,89,64,25,68
6,8,阿贾克斯,20,6,12,71,56,15,66
13,6,国际米兰,18,11,9,64,41,23,65
7,20,塞维利亚,19,5,14,93,83,10,62
14,3,曼彻斯特联,15,11,12,72,62,10,56
0,17,上海申花,15,5,18,93,78,15,50
11,14,尤文图斯,14,7,17,47,61,-14,49
10,5,AC米兰,14,7,17,88,113,-25,49
2,18,上海上港,11,11,16,35,51,-16,44
4,11,马德里竞技,10,9,19,52,69,-17,39
12,13,托特纳姆热刺,11,6,21,53,89,-36,39
19,19,莱斯特城,10,7,21,44,71,-27,37
16,16,拜仁慕尼黑,11,4,23,54,86,-32,37
9,15,多特蒙德,9,6,23,58,93,-35,33
15,9,切尔西,4,7,27,39,97,-58,19
5,1,巴塞罗那,3,6,29,32,103,-71,15
