,id,名称,胜,平,负,胜球,输球,净胜球,积分
16,20,塞维利亚,30,3,5,111,53,58,93
5,3,曼彻斯特联,24,6,8,89,46,43,78
1,11,马德里竞技,22,10,6,85,54,31,76
17,17,上海申花,22,4,12,85,68,17,70
13,16,拜仁慕尼黑,21,6,11,79,60,19,69
10,37,北京国安,17,8,13,90,83,7,59
11,5,AC米兰,17,5,16,79,80,-1,56
9,36,川崎前锋,14,11,13,73,62,11,53
3,30,广州恒大,13,14,11,69,59,10,53
7,19,莱斯特城,15,7,16,62,56,6,52
4,18,上海上港,15,7,16,66,62,4,52
12,24,浙江绿城,14,7,17,64,68,-4,49
18,40,桑托斯,13,6,19,46,62,-16,45
6,14,尤文图斯,13,6,19,62,91,-29,45
15,1,巴塞罗那,11,10,17,53,72,-19,43
19,9,切尔西,10,12,16,63,78,-15,42
14,15,多特蒙德,11,8,19,67,82,-15,41
2,29,摩纳哥,9,9,20,43,69,-26,36
8,27,狼队,7,11,20,40,70,-30,32
0,26,西汉姆联,3,8,27,28,79,-51,17
