,id,名称,胜,平,负,胜球,输球,净胜球,积分
3,7,巴黎圣日尔曼,24,7,7,88,49,39,79
13,28,罗马,23,7,8,102,62,40,76
12,2,皇家马德里,21,9,8,115,85,30,72
5,38,江苏苏宁,22,5,11,75,41,34,71
8,25,勒沃库森,20,9,9,78,56,22,69
10,33,本菲卡,19,3,16,130,114,16,60
7,6,国际米兰,17,8,13,54,48,6,59
1,10,利物浦,16,8,14,72,61,11,56
6,21,里昂,16,8,14,76,85,-9,56
14,35,河床,15,10,13,59,49,10,55
11,12,阿森纳,14,11,13,89,83,6,53
9,23,莱比锡,13,11,14,51,58,-7,50
0,20,塞维利亚,15,4,19,88,95,-7,49
17,4,曼彻斯特城,14,6,18,100,102,-2,48
16,34,博卡,13,9,16,68,78,-10,48
2,8,阿贾克斯,12,9,17,68,81,-13,45
19,3,曼彻斯特联,9,8,21,62,79,-17,35
15,19,莱斯特城,10,4,24,56,94,-38,34
4,18,上海上港,5,11,22,38,88,-50,26
18,5,AC米兰,5,7,26,68,129,-61,22
