,id,名称,胜,平,负,胜球,输球,净胜球,积分
5,28,罗马,25,9,4,130,74,56,84
11,7,巴黎圣日尔曼,21,8,9,101,68,33,71
6,2,皇家马德里,21,6,11,116,95,21,69
1,25,勒沃库森,20,9,9,97,77,20,69
0,10,利物浦,20,6,12,93,68,25,66
7,33,本菲卡,20,5,13,152,127,25,65
19,4,曼彻斯特城,19,7,12,102,95,7,64
13,34,博卡,17,10,11,94,71,23,61
12,38,江苏苏宁,17,3,18,83,79,4,54
16,31,马赛,16,6,16,82,85,-3,54
10,11,马德里竞技,16,6,16,74,82,-8,54
2,3,曼彻斯特联,16,5,17,92,86,6,53
3,22,里斯本竞技,15,5,18,76,88,-12,50
8,20,塞维利亚,15,4,19,86,88,-2,49
15,6,国际米兰,14,6,18,73,80,-7,48
9,39,埃因霍温,11,5,22,101,125,-24,38
18,23,莱比锡,8,10,20,60,88,-28,34
4,32,波尔图,9,7,22,58,96,-38,34
14,17,上海申花,9,7,22,76,116,-40,34
17,8,阿贾克斯,7,4,27,50,108,-58,25
