,id,名称,胜,平,负,胜球,输球,净胜球,积分
16,25,勒沃库森,20,10,8,84,60,24,70
6,7,巴黎圣日尔曼,20,9,9,78,51,27,69
3,2,皇家马德里,21,5,12,109,92,17,68
10,21,里昂,19,10,9,85,72,13,67
9,12,阿森纳,19,9,10,88,68,20,66
2,10,利物浦,20,5,13,70,55,15,65
7,28,罗马,18,10,10,113,83,30,64
19,38,江苏苏宁,19,7,12,79,49,30,64
15,33,本菲卡,18,7,13,132,113,19,61
13,34,博卡,18,6,14,87,75,12,60
0,6,国际米兰,16,6,16,53,57,-4,54
5,4,曼彻斯特城,12,11,15,100,100,0,47
17,20,塞维利亚,11,14,13,82,84,-2,47
14,23,莱比锡,13,6,19,59,77,-18,45
11,35,河床,11,10,17,44,58,-14,43
12,31,马赛,11,7,20,64,97,-33,40
18,8,阿贾克斯,10,9,19,62,89,-27,39
8,32,波尔图,9,7,22,49,80,-31,34
4,37,北京国安,8,6,24,77,120,-43,30
1,39,埃因霍温,8,4,26,76,111,-35,28
