,id,名称,胜,平,负,胜球,输球,净胜球,积分
14,28,罗马,25,5,8,111,68,43,80
9,2,皇家马德里,23,7,8,112,79,33,76
0,25,勒沃库森,23,5,10,90,51,39,74
4,38,江苏苏宁,22,8,8,82,43,39,74
1,7,巴黎圣日尔曼,22,8,8,86,50,36,74
12,10,利物浦,22,7,9,86,51,35,73
5,8,阿贾克斯,19,11,8,65,56,9,68
16,12,阿森纳,17,10,11,82,58,24,61
15,6,国际米兰,17,9,12,65,60,5,60
6,4,曼彻斯特城,18,5,15,104,87,17,59
11,3,曼彻斯特联,16,7,15,72,74,-2,55
2,34,博卡,14,8,16,52,63,-11,50
13,20,塞维利亚,14,6,18,77,72,5,48
7,5,AC米兰,12,4,22,81,114,-33,40
10,18,上海上港,8,12,18,37,60,-23,36
19,19,莱斯特城,10,5,23,56,92,-36,35
17,17,上海申花,8,8,22,66,90,-24,32
18,11,马德里竞技,7,7,24,42,92,-50,28
8,13,托特纳姆热刺,6,6,26,41,88,-47,24
3,14,尤文图斯,5,6,27,54,113,-59,21
