,id,名称,胜,平,负,胜球,输球,净胜球,积分
13,28,罗马,25,4,9,115,66,49,79
10,7,巴黎圣日尔曼,21,11,6,82,45,37,74
0,38,江苏苏宁,21,7,10,73,54,19,70
7,4,曼彻斯特城,20,5,13,91,89,2,65
16,2,皇家马德里,20,4,14,107,86,21,64
15,34,博卡,20,4,14,87,68,19,64
11,25,勒沃库森,18,10,10,79,61,18,64
2,33,本菲卡,18,9,11,127,103,24,63
5,12,阿森纳,16,8,14,71,74,-3,56
12,10,利物浦,15,8,15,67,76,-9,53
18,3,曼彻斯特联,14,10,14,75,75,0,52
14,6,国际米兰,14,8,16,59,63,-4,50
3,23,莱比锡,14,7,17,58,65,-7,49
4,21,里昂,14,6,18,68,86,-18,48
6,35,河床,12,9,17,65,79,-14,45
1,31,马赛,10,6,22,68,89,-21,36
19,19,莱斯特城,10,6,22,41,85,-44,36
17,22,里斯本竞技,9,8,21,77,87,-10,35
8,30,广州恒大,7,11,20,48,71,-23,32
9,20,塞维利亚,7,9,22,67,103,-36,30
