,id,名称,胜,平,负,胜球,输球,净胜球,积分
2,2,皇家马德里,25,5,8,108,76,32,80
6,7,巴黎圣日尔曼,22,8,8,89,63,26,74
1,28,罗马,22,7,9,115,83,32,73
11,33,本菲卡,21,7,10,136,102,34,70
19,38,江苏苏宁,19,10,9,93,60,33,67
3,34,博卡,20,6,12,83,65,18,66
17,25,勒沃库森,19,4,15,86,62,24,61
0,10,利物浦,17,4,17,74,72,2,55
9,8,阿贾克斯,16,7,15,67,66,1,55
14,4,曼彻斯特城,15,8,15,98,93,5,53
13,6,国际米兰,15,7,16,63,62,1,52
5,32,波尔图,15,6,17,72,85,-13,51
4,22,里斯本竞技,13,8,17,77,79,-2,47
18,35,河床,10,15,13,42,55,-13,45
12,12,阿森纳,12,9,17,77,91,-14,45
16,39,埃因霍温,11,9,18,93,109,-16,42
7,3,曼彻斯特联,10,6,22,55,78,-23,36
15,37,北京国安,9,7,22,69,115,-46,34
10,20,塞维利亚,8,8,22,50,91,-41,32
8,19,莱斯特城,7,7,24,46,86,-40,28
