id,姓名,俱乐部,进球数,助攻数,传球成功率,过人成功率,抢断成功率,争顶成功率,扑救成功率,传球数,传球成功数,过人数,过人成功数,抢断数,抢断成功数,争顶数,争顶成功数,扑救数,扑救成功数
1,海因切,巴塞罗那,0,0,27.8,0.0,0.0,0.0,58.9,18,5,0,0,0,0,0,0,163,96
2,丘尔内利,巴塞罗那,0,8,57.7,53.7,51.1,0.0,0.0,71,41,82,44,278,142,0,0,0,0
3,博布任斯基,巴塞罗那,0,1,21.3,0.0,60.1,51.6,0.0,127,27,0,0,198,119,285,147,0,0
4,里亚比切夫,巴塞罗那,0,12,50.7,42.6,0.0,0.0,0.0,71,36,223,95,0,0,0,0,0,0
5,曼乔皮,巴塞罗那,4,7,55.1,43.8,0.0,0.0,0.0,301,166,121,53,0,0,0,0,0,0
6,菲亚马雷利,巴塞罗那,0,1,27.8,0.0,57.8,48.1,0.0,108,30,0,0,251,145,260,125,0,0
7,埃尔努夫,巴塞罗那,0,5,61.1,43.9,52.5,0.0,0.0,54,33,82,36,255,134,0,0,0,0
8,隆格韦涅,巴塞罗那,3,5,69.7,44.6,0.0,0.0,0.0,501,349,83,37,0,0,0,0,0,0
9,奈达诺夫,巴塞罗那,1,4,64.0,43.5,0.0,0.0,0.0,222,142,154,67,0,0,0,0,0,0
10,加兰西诺,巴塞罗那,38,0,0.0,28.7,0.0,56.2,0.0,0,0,150,43,0,0,320,180,0,0
11,加索尔,巴塞罗那,5,7,81.9,33.3,43.5,39.5,0.0,700,573,12,4,23,10,38,15,0,0
45,兰基内,AC米兰,0,3,26.7,0.0,65.8,49.2,0.0,105,28,0,0,275,181,242,119,0,0
46,费伍德,AC米兰,5,15,69.1,47.9,0.0,0.0,0.0,81,56,292,140,0,0,0,0,0,0
47,梅察,AC米兰,1,11,51.2,62.4,49.8,0.0,0.0,84,43,101,63,267,133,0,0,0,0
48,布斯蒂洛,AC米兰,0,0,46.6,0.0,50.6,35.0,0.0,73,34,0,0,162,82,197,69,0,0
49,韦尼克桑,AC米兰,11,2,60.7,29.9,0.0,50.5,0.0,247,150,67,20,0,0,91,46,0,0
50,姆拉多韦亚努,AC米兰,39,0,0.0,34.7,0.0,60.1,0.0,0,0,202,70,0,0,281,169,0,0
51,卡伦登,AC米兰,0,2,75.9,0.0,0.0,0.0,54.0,29,22,0,0,0,0,0,0,163,88
52,凡萨戈,AC米兰,13,21,65.1,61.4,0.0,0.0,0.0,109,71,339,208,0,0,0,0,0,0
53,格里本恰,AC米兰,19,6,78.2,41.2,0.0,61.1,0.0,266,208,80,33,0,0,95,58,0,0
54,岑策雷亚努,AC米兰,3,3,69.6,0.0,44.6,43.8,0.0,293,204,0,0,65,29,80,35,0,0
55,列特,AC米兰,0,9,50.0,48.8,52.3,0.0,0.0,88,44,125,61,283,148,0,0,0,0
89,泽莱纽克,切尔西,26,0,0.0,29.6,0.0,55.6,0.0,0,0,54,16,0,0,293,163,0,0
90,奇梅拉罗,切尔西,1,10,45.8,58.4,53.0,0.0,0.0,131,60,219,128,264,140,0,0,0,0
91,德里格尔,切尔西,0,0,21.1,0.0,56.7,38.3,0.0,76,16,0,0,208,118,209,80,0,0
92,德卢卡,切尔西,6,2,78.5,44.4,33.3,36.8,0.0,251,197,9,4,15,5,38,14,0,0
93,安格施泰因,切尔西,0,1,28.6,0.0,53.6,43.0,0.0,77,22,0,0,239,128,230,99,0,0
94,特拉莫耶雷斯,切尔西,12,0,0.0,34.0,0.0,43.8,0.0,0,0,53,18,0,0,242,106,0,0
95,奥格内诺夫,切尔西,2,11,49.5,53.3,53.6,0.0,0.0,109,54,227,121,276,148,0,0,0,0
96,普雷舍斯,切尔西,2,8,72.7,34.6,0.0,0.0,0.0,256,186,272,94,0,0,0,0,0,0
97,库尔克内亚努,切尔西,4,7,81.8,0.0,38.9,11.8,0.0,269,220,1,0,18,7,34,4,0,0
98,约西佩斯库,切尔西,0,0,55.6,0.0,0.0,0.0,52.5,9,5,0,0,0,0,0,0,181,95
