id,姓名,俱乐部,进球数,助攻数,传球成功率,过人成功率,抢断成功率,争顶成功率,扑救成功率,传球数,传球成功数,过人数,过人成功数,抢断数,抢断成功数,争顶数,争顶成功数,扑救数,扑救成功数
1,海因切,巴塞罗那,0,0,26.7,0.0,0.0,0.0,50.8,15,4,0,0,0,0,0,0,195,99
2,丘尔内利,巴塞罗那,0,5,62.5,54.4,49.2,0.0,0.0,64,40,79,43,238,117,0,0,0,0
3,博布任斯基,巴塞罗那,0,0,24.0,0.0,57.3,47.6,0.0,75,18,0,0,227,130,254,121,0,0
4,里亚比切夫,巴塞罗那,1,18,53.9,50.8,0.0,0.0,0.0,102,55,244,124,0,0,0,0,0,0
5,曼乔皮,巴塞罗那,3,6,56.6,34.0,0.0,0.0,0.0,295,167,144,49,0,0,0,0,0,0
6,菲亚马雷利,巴塞罗那,0,0,37.5,0.0,56.9,47.9,0.0,88,33,0,0,295,168,263,126,0,0
7,埃尔努夫,巴塞罗那,0,3,49.0,39.7,47.8,0.0,0.0,49,24,78,31,226,108,0,0,0,0
8,隆格韦涅,巴塞罗那,6,4,68.9,43.9,0.0,0.0,0.0,553,381,82,36,0,0,0,0,0,0
9,奈达诺夫,巴塞罗那,1,9,55.6,42.7,0.0,0.0,0.0,275,153,131,56,0,0,0,0,0,0
10,加兰西诺,巴塞罗那,26,0,0.0,30.5,0.0,58.2,0.0,0,0,131,40,0,0,349,203,0,0
11,加索尔,巴塞罗那,15,5,80.3,16.7,12.0,47.6,0.0,727,584,6,1,25,3,42,20,0,0
45,兰基内,AC米兰,0,1,19.6,0.0,62.8,45.8,0.0,102,20,0,0,261,164,249,114,0,0
46,费伍德,AC米兰,3,13,62.6,53.0,0.0,0.0,0.0,115,72,300,159,0,0,0,0,0,0
47,梅察,AC米兰,0,7,43.6,57.7,50.5,0.0,0.0,78,34,78,45,277,140,0,0,0,0
48,布斯蒂洛,AC米兰,0,0,39.0,0.0,52.8,34.6,0.0,77,30,0,0,195,103,231,80,0,0
49,韦尼克桑,AC米兰,10,1,56.7,28.1,0.0,49.4,0.0,187,106,89,25,0,0,87,43,0,0
50,姆拉多韦亚努,AC米兰,20,0,0.0,40.8,0.0,50.5,0.0,0,0,223,91,0,0,220,111,0,0
51,卡伦登,AC米兰,0,3,56.0,0.0,0.0,0.0,60.1,25,14,0,0,0,0,0,0,183,110
52,凡萨戈,AC米兰,9,12,64.0,57.1,0.0,0.0,0.0,89,57,315,180,0,0,0,0,0,0
53,格里本恰,AC米兰,18,2,79.2,38.4,0.0,63.1,0.0,236,187,86,33,0,0,84,53,0,0
54,岑策雷亚努,AC米兰,2,5,64.7,0.0,51.6,43.4,0.0,266,172,0,0,64,33,83,36,0,0
55,列特,AC米兰,0,6,48.3,54.0,53.2,0.0,0.0,89,43,100,54,237,126,0,0,0,0
89,泽莱纽克,切尔西,34,0,0.0,28.3,0.0,52.4,0.0,0,0,60,17,0,0,296,155,0,0
90,奇梅拉罗,切尔西,1,16,54.7,56.5,53.8,0.0,0.0,117,64,216,122,234,126,0,0,0,0
91,德里格尔,切尔西,0,1,18.6,0.0,65.2,47.8,0.0,97,18,0,0,198,129,247,118,0,0
92,德卢卡,切尔西,6,1,77.7,75.0,50.0,37.2,0.0,206,160,8,6,22,11,43,16,0,0
93,安格施泰因,切尔西,0,0,37.5,0.0,49.1,46.2,0.0,72,27,0,0,232,114,238,110,0,0
